region,shipped_calendar_rank,shipped_calendar_score,frozen_jan_aug_rank,growth_pct,overnight_growth_pct,overnight_excess,d_temp_c_all,d_temp_c_night,d_cdh_night,d_cdh_day,d_cdh_all,d_hdh_night,d_hdh_all,a_overnight_growth_adj,a_growth_adj,a_overnight_excess_adj,control_a_score,control_a_rank,raw_growth_pct_night,weather_implied_growth_pct_night,wx_adjusted_growth_pct_night,wx_adjusted_growth_pct_day,wx_adjusted_growth_pct_all,mw_total_change_night,mw_weather_explained_night,mw_unexplained_night,night_minus_day_wx_growth_pts,control_b_score,control_b_rank,icaos,stations,n_stations,anchor_to_centroid_km
ERCO/NRTH,1,16.465676023711634,1,88.99989661085283,103.8614136693639,14.861517058511069,0.45749600148701575,0.35481737793345935,0.25357335762277744,0.3764575816202189,0.29732671309264447,-0.10124402031068236,-0.1601692883943704,101.2030164220976,86.54677231258428,14.656244109513324,14.00376491508124,1,103.5654858923297,1.1368352398664294,101.27729467659634,81.15777231554699,86.93259066514649,887.4551438253379,9.741568560304472,877.7135752650335,20.11952236104935,16.657985653146,1,KSPS,72351013966,1,
ERCO/FWES,2,13.893486911863139,2,115.98882809030711,120.20032154948485,4.2114934591777455,0.5836027773359582,0.8675753328661528,0.7251786965662235,0.4380975723622784,0.6739884996234728,-0.14239663629992982,0.09038572228751329,106.55048551127726,104.7929680171893,1.7575174940879634,12.203042483014551,2,120.3374022969515,1.192336861461074,117.7411937809162,122.22123825526681,114.29103457194549,4017.154987655686,39.803102597848465,3977.3518850578375,-4.480044474350606,16.23346747407212,2,KMAF,72265023023,1,
AZPS,3,9.012197446755582,4,27.311380168292064,39.32561210860093,12.014231940308864,1.6096405586774587,1.3267857142857125,0.40938958916900114,1.040318627450981,0.7518984160637667,-0.9173961251167126,-0.8577421426136924,33.771681894849245,17.752743682980384,16.01893821186886,6.419769284934356,5,39.68470380818356,3.718512976239996,34.676732050895076,15.802360934102344,23.029894013206874,1191.7334849241297,111.66711610926131,1080.0663688148684,18.87437111679273,6.906124874509881,7,"KPHX,KFLG","72278023183,72375003103",2,55.3874476313227
TEPC,4,8.507894106433275,3,16.975993421342885,31.81184587309229,14.835852451749407,1.5207886851059413,1.4139005602240893,0.8299019607843139,1.2331465919701206,1.1018598845468661,-0.5839985994397754,-0.41892880055907833,16.11787714890064,-1.41552805468275,17.53340520358339,5.4091640614536765,6,32.12467795130283,4.644821472846816,26.26012075101727,2.860388511262779,11.195937939178524,363.85513939385555,52.60884379990216,311.2462955939534,23.39973223975449,7.380836482919037,4,KTUS,72274023160,1,159.6592694165983
WACM,5,8.237178817192074,6,48.82770132710166,53.148626117278994,4.320924790177337,1.9150951715041842,1.3982434640522872,0.13026377217553692,0.664046451914099,0.43570429347608153,-1.2679796918767519,-1.479390878028103,54.44396437356847,48.02557783634218,6.41838653722629,7.134012991076678,3,52.88551706975835,-1.6686743703292706,55.479971505261894,51.72280250477242,51.39617080049985,1281.9240465937182,-40.4480076925056,1322.3720542862238,3.757169000489476,7.979020939386508,3,"KDEN,KGJT","72476023066,72565003017",2,176.41143361385187
PJM/DOM,6,7.707425481498641,5,30.9154439871961,38.69607284299161,7.780628855795513,-0.31581664140160903,-0.2127540294323751,0.041719224480261774,-0.5585901027077504,-0.23462042371998093,0.25447325391263753,0.08119621768162943,40.665980762037584,38.75842831019949,1.907552451838093,5.149967844046462,8,38.80325744430071,0.8140778202409882,37.682415437849116,30.20927504426798,32.384115725317585,3960.384723091527,83.087389436776,3877.297333654751,7.4731403935811365,7.20042344314634,6,"KIAD,KRIC","72401013740,72403093738",2,77.18899889111044
SWPP/OPPD,7,6.819979052128234,7,37.26247672433325,42.996798030424934,5.734321306091687,1.1540411583929053,0.16923615977575324,-0.138869423032002,0.4292308590102709,0.18108898221047998,-0.30810558280775524,-0.9729521761824245,49.70595052885587,40.04158221841851,9.66436831043736,6.551752096775509,4,42.93486647897468,-1.1918338302804865,44.6589609136761,34.84075623528673,37.20445545434943,504.90046449971214,-14.015589283590089,518.9160537833022,9.818204678389364,7.290601415665602,5,KOMA,72550014942,1,46.7466199310338
ERCO,8,5.137978486777893,8,27.49337245757568,32.36389443470924,4.870521977133556,0.5957335118151725,0.39996496145760574,0.3199135715954218,0.7159313725490186,0.5536943503742195,-0.08005138986218174,-0.0420391614409521,28.13459980591461,19.270248553550246,8.864351252364365,5.009858467375741,10,32.57154451897814,1.5572972386799888,30.53866942461896,22.42530417670514,24.950153404692486,12316.384722714036,588.8659012785647,11727.518821435471,8.11336524791382,5.798047418030057,8,"KDFW,KIAH,KAUS","72243012960,72254013904,72259003927",3,117.44885314205564
SC,9,5.075640952549311,9,29.759792278134878,35.719629060042266,5.959836781907388,-0.39745486003232244,-0.34868605466012426,0.1325858444288719,-0.03752334267040158,0.03975080482517157,0.4812718990889979,0.4372056648574971,35.35650176349756,30.63648524227186,4.720016521225702,4.215690316185141,11,35.84001352415,1.6171769135979286,33.67820052671877,27.206519095087287,28.730555402031644,760.7433706345128,34.326343524781805,726.417027109731,6.471681431631481,5.379265347926362,9,KCHS,72208013880,1,84.39790265105576
CISO/SDGE,10,3.719322912587587,13,2.042831163910197,13.586964375885868,11.544133211975671,-0.2537091028557299,-0.4451997196916597,-0.08003971034804955,-0.08870214752567729,-0.09362086232342393,0.36516000934361115,0.16008824053230475,18.302876518239266,6.66440438335812,11.638472134881146,2.815118309222887,17,13.417222305473086,-0.5398290378997417,14.032804496878693,2.050299277524137,2.151077818748237,256.3885445398639,-10.31554655474497,266.7040910946089,11.982505219354557,3.17569514637355,15,KSAN,72290023188,1,115.42543462105105
PNM/PNM,11,3.6184566353802454,10,15.247577534884416,23.877137714542982,8.629560179658567,1.0959380012229865,1.0678279645191413,0.38506069094304385,0.3176528944911299,0.4416212648147195,-0.682767273576097,-0.6543167364082638,18.677006594061808,11.478670247035716,7.198336347026093,2.2812870083084227,21,24.189076033255308,1.7338340125917062,22.072540800815887,6.868754972384661,14.203605954674181,210.09398273426405,15.059198317650612,195.03478441661343,15.203785828431226,3.6164963662965657,13,KABQ,72365023050,1,77.83735877671946
CISO/PGAE,12,3.412131138121298,11,1.480972003878711,10.985793318906477,9.504821315027765,-0.36724951112983817,-0.629823639336605,-0.23798761971501997,-0.3975431839402428,-0.3083372599273466,0.391836019621584,0.05891225120249155,19.371084086653244,10.9428231529488,8.428260933704445,3.710655030854065,12,11.123898104105635,-2.2377472142318333,13.667489176643244,-2.087877076700506,3.210609331014269,1068.1289221139032,-214.87094699462068,1282.9998691085239,15.75536625334375,4.032099184193855,11,"KSFO,KFAT","72389093193,72494023234",2,8.975163887967962
SRP,13,3.3781688363351656,17,19.787419418615926,24.771890412489196,4.98447099387327,1.6833262775695879,1.5853957100081395,1.0288498157883854,1.3580703326528347,1.2043431909792783,-0.5565458942197568,-0.4789830865903133,4.400060566537485,-0.54101655809015,4.941077124627635,0.4103111003056543,49,25.1132539810782,3.1427658601420605,21.30104611575703,11.211025645586936,16.10340866805786,732.0684417895295,91.61376330908843,640.4546784804411,10.090020470170092,2.7557495972861803,20,KPHX,72278023183,1,25.322287292766642
ERCO/SOUT,14,3.307605446628287,16,24.530586642916894,30.17097168979319,5.640385046876297,0.1254871079609572,-0.3080530249941624,-0.006452931558047048,0.7346055088702155,0.3453073331944063,0.30160009343611294,0.21982022523345113,33.22423774863271,19.7644039774737,13.459833771159008,5.2472803631942435,7,30.480277852540016,0.6266678464119213,29.667692118846787,18.219594085829026,22.36029498709464,923.3444698707781,18.983760359063126,904.360709511715,11.44809803301776,3.9502351175643335,12,KCRP,72251012924,1,
PGE,15,3.108188581199539,14,15.18634247717452,23.517917819836253,8.331575342661733,0.6867778565961213,0.4392081289418357,0.12193412754029438,0.33267973856209165,0.29018787125649737,-0.3172740014015414,-0.39658998533962375,24.136207224141664,13.697204299735237,10.439002924406427,3.2980093126788748,14,23.498285063638647,0.7300974082534939,22.603162551413945,9.841510203052483,15.109545595642038,444.01494517539527,13.795651887805434,430.21929328758984,12.761652348361462,3.0156373898409594,17,KPDX,72698024229,1,92.53309507155397
ERCO/SCEN,16,2.8751471120985577,12,30.013167234588245,34.914693949584304,4.901526714996059,0.6174707139690803,0.2817449194113557,0.26681266059331943,0.9348447712418295,0.6530672953110432,-0.014932258818033173,0.035596581341965194,31.86752365000413,19.443747774610966,12.423775875393165,5.013050639718482,9,35.07715704631658,1.685806028877157,32.8377699125056,23.64863658793066,26.285975728964694,2089.825491713994,100.43688570828908,1989.3886060057048,9.18913332457494,4.370474920135609,10,"KAUS,KSAT","72253012921,72254013904",2,
NYIS/ZONE,17,2.6300451719999884,18,-6.879394700326246,4.912707740272548,11.792102440598795,0.8200392143279469,0.8786482865141805,0.12285545298514741,0.3913378910886389,0.3237993281130711,-0.755792833529032,-0.4962398862148749,5.911596642610412,-8.728281001679765,14.639877644290177,1.5754120020197973,31,5.2530746980251175,0.20561956673019743,5.03709787247375,-20.840327016997218,-6.922319491338924,40.658817943061194,1.5914962207481267,39.06732172231307,25.87742488947097,2.317127451921263,26,KRME,72519664775,1,
NYIS/ZOND,18,2.3724026504769866,21,7.5751464927244605,11.692286186305822,4.117139693581361,1.06075795812455,0.9334267694463909,0.06949310908666204,0.29450280112044824,0.2225247975482465,-0.8639336603597307,-0.8382331605763049,14.038302376373199,9.023247368513559,5.01505500785964,2.184628774314941,22,11.684658453303554,-0.727432413538387,12.503042047372869,4.3192463814319515,8.194394372740543,61.195300310068774,-3.8097343777450305,65.0050346878138,8.183795665940917,2.8137104186191677,18,"KMSS,KPBG","72622394725,72622564776",2,
PJM/AEP,19,2.2851878299371795,32,7.438744121255514,10.699759181742774,3.26101506048726,0.1169358899645001,-0.002421552596745258,0.18375379584209317,0.14737394957983163,0.16608588225314058,0.18617534843883732,0.04914999228864314,9.410614652810755,7.009781429215173,2.4008332235955825,0.6566261637378286,41,10.820850343149257,1.348938147981693,9.345842559630402,5.510434956801613,6.918516690879373,1421.0399438247314,177.14827663655342,1243.891667188178,3.8354076028287887,1.5380799920036548,30,"KCMH,KCRW,KFWA","72414013866,72428014821,72533014827",3,32.549199025751385
NYIS/ZONG,20,2.2701747893469313,25,-1.4531194370423939,6.5960186238853025,8.049138060927696,0.36810005816777114,0.31759657081563475,0.1865860080573009,0.20723039215686256,0.17512591015493006,-0.131010562758334,-0.19297414801284063,5.531515718683031,-1.236888905587473,6.768404624270504,0.6159320016387607,44,6.816113418784386,1.6608033981145631,5.071089198932532,-12.093125861798558,-1.8729562645266817,64.2950612641514,15.666032776862266,48.62902848728913,17.16421506073109,1.4904692985304995,31,KPOU,72503614757,1,
CISO,21,2.094281335977173,23,4.666953295405918,10.549978488381505,5.8830251929755875,-0.28769355100619265,-0.49690882192634156,-0.14870357393132458,-0.25859399315281717,-0.2064732790809951,0.3482052479950166,0.08122027192519532,16.887243583665768,11.92104493955619,4.9661986441095785,3.1933158359173883,15,10.616454089741477,-1.6113156350548885,12.428024425492756,9.946324868315081,6.120870143454016,2267.112862679922,-344.09176276663493,2611.2046254465567,2.4816995571776754,2.7023947006332643,22,"KLAX,KSFO,KFAT","72295023174,72389093193,72494023234",3,127.18623801749024
SWPP/OKGE,22,2.0609075602830047,20,20.25215754391596,23.341156600322122,3.0889990564061627,0.6926556052231607,0.4701646811492637,0.12977108152300865,0.41064425770308155,0.2323674183571085,-0.34039359962625504,-0.46028818686605444,23.797369367660018,20.19205341146013,3.605315956199888,2.124103413530398,25,23.640070529569424,0.3551175995398337,23.20255656811303,18.530548181696993,20.185108485010474,808.3448620285808,12.142835472714978,796.2020265558658,4.672008386416039,2.703833597790233,21,KOKC,72353013967,1,48.2393013500549
SWPP/SPS,23,1.9774780272281631,29,11.098811754387118,14.0522278033834,2.9534160489962815,0.4651952408197779,0.5493342676944657,0.11298761971501992,0.2900501867413636,0.24851287890725882,-0.4363466479794438,-0.21668236191251822,14.98894053515078,9.861553927902598,5.127386607248182,1.649537616338196,29,14.421114222502363,0.5164071829206751,13.833271034327543,8.55230064715271,10.647747919347994,526.8847086760024,18.867269472617863,508.0174392033846,5.280970387174833,1.911069800171017,28,"KAMA,KLBB","72267023042,72363023047",2,52.87802771699406
FPL,24,1.8719522467767693,22,16.03437943102697,20.436908871127258,4.402529440100288,-0.007393916367139042,-0.14111772950245083,-0.06564470918009846,0.06553454715219331,0.053377501013547324,0.07547302032235448,0.06077141738068975,25.08183193627854,17.923117433428228,7.158714502850312,2.6818091617184874,19,20.510957507617423,-0.09908083033123294,20.630479188029472,11.663398405968529,15.596256424023402,2307.0664278058866,-11.144582460932725,2318.2110102668194,8.967080782060943,2.7706089392886017,19,"KMIA,KPBI","72202012839,72203012844",2,139.12743806500913
SWPP/WAUE,25,1.859142867598611,28,16.03754316498074,18.074997070185383,2.037453905204643,1.8763296531809361,1.3172740014015414,0.02929806120065409,0.26137371615312777,0.14289215532865795,-1.2879759402008855,-1.733437497852277,21.749903258848846,22.236136866661166,-0.48623360781231995,1.69979180095781,28,17.88825844468569,-1.2879881836855844,19.426457100332307,16.92119056772672,17.42944339390844,571.1256686992701,-41.1221201302983,612.2477888295684,2.5052665326055887,2.321039033567584,25,"KFAR,KFSD","72651014944,72753014914",2,
NYIS/ZONF,26,1.7463203520144266,30,-2.1599208802480785,5.191945671820997,7.351866552069075,0.33004943895378247,0.34763489838822714,0.153900957720159,0.04053454715219429,0.13956527006573904,-0.19373394066806782,-0.19048416888804454,4.949351101988561,-1.2083775975994202,6.157728699587981,0.5092581667326446,45,5.50146117539263,1.0746457949799337,4.379748596291977,-10.980773429441125,-2.1887960097337955,65.27319214174827,12.75035108378097,52.5228410579673,15.360522025733102,1.3557810395070342,33,KALB,72518014735,1,
GCPD,27,1.7045650094497136,27,26.73039878234478,26.80943567151335,0.07903688916857021,0.5984942161523943,0.048716713384724386,0.004344779257182851,0.029289215686274517,0.05141200992814099,-0.0443719341275397,-0.5470822062242551,29.92745702465198,30.754770032669494,-0.8273130080175157,2.786434689009574,18,26.90727048974919,0.00888319577532215,26.8959980698096,28.41417605185532,26.98599356030602,159.92951779560144,0.05279930632025298,159.8767184892812,-1.5181779820457209,2.4088809713758352,24,KMWH,72782724110,1,60.57622157339901
SWPP/NPPD,28,1.6158489550251363,24,19.330743790505256,22.387017038943213,3.0562732484379573,1.434570112876905,0.7417834618079882,0.06079187105816386,0.4833508403361342,0.2807937133844072,-0.6809915907498247,-1.1537763994924983,24.768756357133803,20.647203879555914,4.12155247757789,2.151782087590459,24,22.123049755909264,-0.30923641585963724,22.50187014851757,18.136929056123343,19.25739925548575,374.80820665404053,-5.239076336187054,380.0472829902276,4.364941092394226,2.472518017757974,23,"KLNK,KGRI","72551014939,72552014935",2,71.83354566109165
NYIS/ZONA,29,1.3588732674954638,26,3.1939096584628235,8.271133791457451,5.077224132994628,1.238500109391925,1.225122634898388,0.19271198318149974,0.4694502801120448,0.3224006377637205,-1.0324106517168907,-0.916099471628204,7.889999795588896,2.821017536785532,5.068982258803364,1.1113040369305685,34,8.477709457143412,0.472346048278971,7.967728159764187,-2.1451443790707625,2.8499253773379696,128.6465569845393,7.167701738721462,121.47885524581784,10.11287253883495,1.9839136569462192,27,KBUF,72528014733,1,
SWPP/GRDA,30,1.3570335686836925,19,43.83397920996319,39.341762646290235,-4.4922165636729545,0.5206658662413446,0.2277855641205324,0.10266292922214415,0.4431314192343603,0.2728873686698652,-0.12512263489838826,-0.24777849757147852,40.23452366647361,42.1939815063658,-1.9594578398921882,3.343601692356202,13,39.61529225389633,0.24777342523902846,39.27021766524928,44.85138057508122,43.480315552004335,258.4892437727275,1.6167182336189398,256.87252553910855,-5.581162909831946,3.5626139068111113,14,KTUL,72356013968,1,44.240699080580086
FPC,31,1.3341034249783539,31,8.97188090298593,13.828787933363373,4.856907030377442,-0.27902664362135,-0.4112824106517152,0.19698668535388908,0.05909780578898172,0.14977532270720406,0.6082690960056063,0.42880196632855583,11.843089677317945,7.575929368644675,4.26716030867327,0.8072405682866837,37,14.046959975792017,3.3547304141443135,10.345176770142729,2.6171915222700237,6.8840365215459,669.7895056406278,159.96081924627288,509.8286863943549,7.727985247872705,1.0449373553189398,38,"KTPA,KGNV","72211012842,74756012816",2,52.466475089891965
NYIS/ZONC,32,1.2679204701020934,39,-6.7117963737133195,1.2359146921555597,7.947711065868879,1.23545020386082,1.219446391030134,0.23986218173323998,0.40249766573295975,0.3609729046180121,-0.9795842092968936,-0.8744772992428089,-0.29634016941065333,-8.035001280150194,7.738661110739541,-0.05482140544391412,60,1.3945898234783538,0.2681758389690536,1.1234012936650384,-16.632938912648655,-6.658694198901804,22.02341822514677,4.235043566260856,17.788374658885914,17.756340206313695,0.9492552971158715,41,KSYR,72519014771,1,
ISNE/4001,33,1.0049321332171792,35,-4.653828077632671,3.9981452265895223,8.651973304222192,0.1665570101916618,0.30844094760394114,0.0032814256601802483,0.038471688110272684,0.011526043953700604,-0.30515952194375906,-0.15503096623796075,7.380191302586179,-1.1459968983488276,8.526188200935007,0.13722991942082785,55,4.195246718926615,-0.19109022265652031,4.394734850193527,-15.956389662287895,-4.2972940082357525,44.881731323934446,-2.044327927892482,46.92605925182693,20.351124512481423,1.0023204739448017,39,KPWM,72606014764,1,
PJM/JC,34,1.0004655457630185,48,-1.188542720016228,4.1261952772626564,5.314737997278884,-0.31554815391053204,-0.412467881336136,-0.09147979444055121,-0.23961251167133568,-0.18085517674741158,0.3209880868955839,0.13469297716312045,9.150158552507717,5.345390075853574,3.804768476654143,0.20135706371512757,53,4.293651450068636,-0.44518015652145193,4.760022281232135,-4.6242863570753805,0.2348539718923126,93.85073569901442,-9.730758468406293,103.58149416742071,9.384308638307516,0.6557707190251895,50,"KTTN,KACY","72407093730,72409514792",2,68.41983037787152
MISO/0035,35,0.9455058345852972,37,7.543440532046963,10.734787819936177,3.1913472878892133,1.4079916814281361,1.057568325157673,0.2328019154403178,0.24695378151260572,0.2855791169484556,-0.8247664097173573,-1.1224125644796779,9.22567108340307,8.651722598893908,0.5739484845091614,0.6850523957654778,39,10.7583900403049,0.23307836074777377,10.50083650197353,6.810149714447267,7.785898044525719,959.5307340310756,20.788040751191147,938.7426932798844,3.690686787526264,1.2843526365051736,34,"KDSM,KSTL","72434013994,72546014933",2,
NYIS/ZONB,36,0.9300926211951028,36,-3.2826756269131674,4.013824940880495,7.296500567793663,0.659440385143018,0.7292571829011907,0.10937864984816642,0.19234360410830975,0.1471766391855498,-0.6198785330530256,-0.512263745957469,5.203247586514598,-1.3815795771008856,6.584827163615484,0.3396764450916244,50,4.310697125128615,0.3708882292866367,3.925250603384045,-11.587601077240828,-3.0796656858340543,41.00923215445766,3.5283948411748725,37.48083731328279,15.512851680624873,1.079062695789558,37,KROC,72529014768,1,
LGEE,37,0.9243932360231405,42,12.198537378132501,15.001068664716799,2.8025312865842977,-0.15200708875629942,-0.10052557813594909,0.07331814996496155,-0.20079365079365097,-0.03759813267635215,0.17384372810091175,0.1144089560799495,16.30593140627322,15.805571573569576,0.5003598327036443,0.43983284708886805,47,15.325338872893447,0.7453758571563052,14.472091539377052,11.278371991154135,12.518067540418908,537.8800052818137,26.16077682257992,511.7192284592338,3.1937195482229175,0.9736011286487456,40,"KSDF,KLEX","72422093820,72423093821",2,31.937233961547555
ISNE/4006,38,0.915819362381343,46,0.8137353560731642,5.312194474288234,4.49845911821507,0.8155000321488313,0.5135599159074964,-0.022354590049053935,0.2037348272642392,0.04419832283710745,-0.5359145059565531,-0.7713017093117269,9.50539122128675,5.761616039331189,3.743775181955561,0.4392911040633905,48,5.515349942313175,-0.4827844493335731,6.027232934981952,-3.667347560236367,1.367324708788864,72.91520658675836,-6.382610029866555,79.29781661662491,9.694580495218318,0.9163946878852562,43,KEWB,72506594726,1,
