region,icao,station_id,station_name,state,lat,lon,elev_m,isd_begin,isd_end
PJM/CE,KMDW,72534014819,CHICAGO MIDWAY INTL ARPT,IL,41.784,-87.755,185.8,19730101,20250827
PJM/DAY,KDAY,72429093815,J.M.COX DAYTON INTERNATIONAL AIRPORT,OH,39.906,-84.219,302.6,19730101,20250827
PJM/DEOK,KCVG,72421093814,CINCINNATI/NORTHERN KENTUCKY INTL AP,KY,39.044,-84.672,262.4,19730101,20250827
PJM/DOM,KIAD,72403093738,WASHINGTON DULLES INTERNATIONAL AP,VA,38.935,-77.447,89.5,19730101,20250827
PJM/DOM,KRIC,72401013740,RICHMOND INTERNATIONAL AIRPORT,VA,37.512,-77.323,50.7,19420924,20250826
PJM/DPL,KILG,72418013781,WILMINGTON AIRPORT,DE,39.674,-75.606,22.4,20050101,20250827
PJM/DPL,KSBY,72398093720,SALBRY-OCN CTY WICO RGNL AP,MD,38.341,-75.513,14.4,20050101,20250827
PJM/DUQ,KPIT,72520094823,PITTSBURGH INTERNATIONAL AIRPORT,PA,40.485,-80.214,341.0,19450201,20250827
PJM/EKPC,KLEX,72422093820,BLUE GRASS AIRPORT,KY,38.034,-84.611,293.2,19730101,20250825
PJM/JC,KTTN,72409514792,TRENTON MERCER AIRPORT,NJ,40.277,-74.816,57.9,19730101,20250827
PJM/JC,KACY,72407093730,ATLANTIC CITY INTERNATIONAL AIRPORT,NJ,39.452,-74.567,17.8,19470101,20250826
PJM/ME,KRDG,72510314712,RDNG RGNL/C A SPAATZ FD AP,PA,40.373,-75.959,101.3,19900314,20250827
PJM/PE,KPHL,72408013739,PHILADELPHIA INTERNATIONAL AIRPORT,PA,39.873,-75.227,2.2,19730101,20250827
PJM/PEP,KDCA,72405013743,RONALD REAGAN WASHINGTON NATL AP,VA,38.847,-77.035,4.1,19360901,20250827
PJM/PL,KAVP,72513014777,WILKES-BARRE/SCRANTON INTL AIRPORT,PA,41.333,-75.723,289.9,19730101,20250827
PJM/PL,KABE,72517014737,LEHIGH VALLEY INTERNATIONAL AIRPORT,PA,40.65,-75.448,117.4,19730101,20250827
